Country/Territory,Status,PR Rating,CL Rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
Uruguay,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,40,4,4,4,4,16,4,4,4,12,4,3,4,4,15,4,4,4,3,15,58,98
Uzbekistan,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,4,6,7
Vanuatu,F,2,2,3,4,3,10,4,4,4,3,15,3,2,3,8,0,33,3,4,4,4,15,4,4,3,11,3,2,3,3,11,4,3,2,2,11,48,81
Venezuela,NF,6,5,2,0,0,2,1,1,1,3,6,0,0,0,0,0,8,1,3,2,2,8,0,1,1,2,0,0,0,1,1,2,1,3,1,7,18,26
Vietnam,NF,7,5,0,0,0,0,0,0,0,1,1,0,1,1,2,0,3,1,1,1,1,4,1,0,0,1,1,1,1,1,4,2,1,3,2,8,17,20
West Bank,NF,7,5,0,0,2,2,1,0,1,2,4,0,1,1,2,3,5,1,2,2,3,8,1,2,2,5,2,2,0,1,5,1,1,2,1,5,23,28
Western Sahara,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,0,2,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,0,4,7,4
Yemen,NF,7,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2,1,1,5,1,1,1,3,1,0,0,1,2,0,1,1,0,2,12,13
Zambia,PF,4,4,2,2,2,6,2,2,3,3,10,2,2,2,6,0,22,1,3,3,3,10,2,2,3,7,2,2,2,2,8,3,2,2,1,8,33,55
Zimbabwe,NF,6,5,0,1,1,2,2,2,1,1,6,0,1,1,2,0,10,1,3,2,2,8,1,2,1,4,2,0,0,1,3,2,1,1,1,5,20,30
